"image_name","plot","subsample","pedigree","height","tapRoot","leafNum","flw","dlw","frw","drw","spr","pop","whole_Eccentricity","whole_EquivDiameter","whole_EulerNumber","whole_Perimeter","whole_Solidity","whole_BoundingBox","whole_BoundingBox.1","whole_BoundingBox.2","whole_BoundingBox.3","top_Eccentricity","top_EquivDiameter","top_EulerNumber","top_Perimeter","top_Solidity","top_BoundingBox","top_BoundingBox.1","top_BoundingBox.2","top_BoundingBox.3","bottom_Eccentricity","bottom_EquivDiameter","bottom_EulerNumber","bottom_Perimeter","bottom_Solidity","bottom_BoundingBox","bottom_BoundingBox.1","bottom_BoundingBox.2","bottom_BoundingBox.3","Petiole_Width","Petiole_Count","Petiole_Length","rootBio","shootBio","S_PC1","S_PC2","S_PC3","R_PC1","R_PC2","R_PC3"
"7196_rep101_16.43.25.NEF",7196,101,"95856",35,13.5,"5",1.31372366828506,-0.693147180559945,3.2577118486534,1.07364535589469,0,"f2",0.56809,733.88,-115,538.720472440945,0.1529,1162.5,1563.5,44.7637795275591,44.1535433070866,0.91151,422.92,-11,229.330708661417,0.17419,1983.5,2055.5,28.6023622047244,21.5551181102362,0.96413,234.24,1,21.0925196850394,0.92747,1915.5,0.5,2.34251968503937,8.99606299212599,0.319165354330709,6.6641,19.0272972440945,10.6711158499084,12.8045134639512,11498.2487903371,5723.35661320664,1299.95360142825,7.53649834442076,-0.136452336455284,2.05936785636322
"7196_rep102_16.43.49.NEF",7196,102,"95856",38,19.5,"6",1.92861865194525,-0.235722333521071,3.64961874016063,1.54300729312887,0,"f2",0.78773,835.33,-61,541.692913385827,0.18047,1345.5,1400.5,34.0354330708661,51.2992125984252,0.60179,685.93,-7,398.641732283465,0.26037,1672.5,1400.5,26.9094488188976,34.4488188976378,0.9809,278,1,29.3031496062992,0.92076,1906.5,0.5,4.19291338582677,12.9330708661417,0.331122047244095,5.7272,20.7929468503937,11.0136825024473,13.0659580916569,7470.68909398032,4796.18481930275,-3250.45356942976,3.07859254493498,-1.70255300243776,1.50139945945767
"7196_rep103_16.44.26.NEF",7196,103,"95856",50.5,11.5,"8",2.8384934971275,0.631271776841858,4.25177557017093,2.0489855850975,0,"f2",0.7127,1126.7,-158,1084.54724409449,0.16605,166.5,880.5,64.0748031496063,59.2322834645669,0.80704,1072.7,-35,1050.25590551181,0.17846,166.5,880.5,64.0748031496063,44.6850393700787,0.94828,319.76,1,29.0649606299213,0.93225,1911.5,0.5,4.0748031496063,10.6299212598425,0.349057086614173,10.232,24.0249625984252,11.293587164497,13.7050850144601,3928.66257013547,1505.82318376959,3810.21898761781,6.53186300062983,1.50437758194144,-0.603327269182957
"7196_rep104_16.44.56.NEF",7196,104,"95856",36.5,13,"6",1.37371557891303,-1.66073120682165,3.75443308485338,1.41523824624677,0,"f2",0.7376,735.53,-112,690.629921259843,0.11627,1042.5,1391.5,46.8307086614173,50.6496062992126,0.80967,615.08,-21,542.952755905512,0.11288,1042.5,1391.5,46.8307086614173,34.6259842519685,0.97895,289.56,1,27.6712598425197,0.88558,1893.5,0.5,3.26771653543307,12.1062992125984,0.299364173228346,5.0116,22.5494606299213,11.095149893085,12.7409389621159,11087.1170207895,3865.61085946719,-2833.10789873302,6.28869811821433,1.83293463834587,-1.11423827696648
"7196_rep105_16.45.36.NEF",7196,105,"95856",37,16,"5",1.68454538492091,-1.23787435600161,3.25076201373052,1.08935653419926,0,"f2",0.82119,789.1,-148,626.456692913386,0.16586,874.5,1504.5,39.6259842519685,51.7913385826772,0.61694,463.8,-13,295.590551181102,0.14943,874.5,1529.5,24.9803149606299,31.9094488188976,0.98966,271.13,1,33.6003937007874,0.74128,1914.5,0.5,2.63779527559055,15.4724409448819,0.315570866141732,6.3737,17.8576200787402,10.9636361747521,12.9490665747347,8413.59536912692,7390.6650166866,-1680.19277242048,2.73059414932428,-0.502334061801434,1.11273061600986
"7196_rep106_16.46.05.NEF",7196,106,"95856",29.5,18,"5",1.30019166206648,-2.52572864430825,3.1108450806545,0.470236160347821,0,"f2",0.32933,703.34,-115,432.42125984252,0.1594,973.5,1890.5,35.9055118110236,41.4566929133858,0.97283,384.7,-10,94.3661417322835,0.41097,973.5,2508.5,18.9763779527559,12.6377952755906,0.98924,245.06,1,28.0807086614173,0.79093,1926.5,0.5,2.7755905511811,12.7362204724409,0.336564960629921,5.6107,18.2016496062992,10.761407371084,12.7017105170646,11181.6484487311,7151.08365934068,-849.219643985692,4.11994291894196,1.78331421217506,-0.45072701770782
"7196_rep107_16.46.36.NEF",7196,107,"95856",40.5,20.5,"6",1.7281094421516,-1.17118298150295,3.58490686373096,1.4414101651379,0,"f2",0.65054,824.3,-166,562.027559055118,0.13101,868.5,1172.5,47.9133858267717,59.7244094488189,0.68576,512.99,-11,278.799212598425,0.17288,868.5,1172.5,21.5354330708661,38.9370078740157,0.98616,290.82,1,36.1476377952756,0.84491,1881.5,0.5,2.65748031496063,16.8700787401575,0.324562992125984,4.8207,24.1485610236221,11.1038438250875,13.0194687079362,8342.69025978519,1724.14858450119,-4817.66566224473,1.43177459363713,-4.9423172439556,0.0155020114258765
"7196_rep108_16.47.04.NEF",7196,108,"95856",41,17,"6",1.53471436623816,-1.71479842809193,3.53892827735043,1.31130622282984,0,"f2",0.56969,791.54,-156,650.590551181102,0.1521,808.5,1486.5,41.6338582677165,49.3897637795276,0.83131,614.09,-19,466.062992125984,0.14087,808.5,1486.5,41.6338582677165,32.755905511811,0.98087,269.69,1,28.5354330708661,0.92371,1907.5,0.5,2.57874015748032,12.7165354330709,0.312330708661417,5.4434,19.5356082677165,10.9530146335137,12.942202684262,9656.7996722515,5058.00238505313,-633.307041248857,3.20504761223316,-1.46026024118189,0.566517875796738
"7196_rep109_16.47.41.NEF",7196,109,"95856",37.5,23.5,"8",2.40694510831829,0.29266961396282,4.70555836001936,2.64337006648709,0,"f2",0.63407,1006.2,-181,793.582677165354,0.20203,912.5,1469.5,42.8937007874016,55.0196850393701,0.83304,840.45,-20,655.374015748032,0.23355,912.5,1469.5,42.8937007874016,33.0905511811024,0.98247,409.63,1,44.2952755905512,0.78395,1897.5,0.5,3.89763779527559,18.011811023622,0.350840551181102,7.5753,18.0953228346457,11.7889650256379,13.3744970255885,4066.94610746636,6383.81825867549,-1049.31393501027,6.08191029792103,0.472789974800122,-0.214805969747157
"7196_rep11_15.16.56.NEF",7196,11,"95856",42,10.5,"6",1.48160454092422,0.0769610411361284,3.18221184049661,1.01994439981144,0,"f2",0.91722,704.14,-75,446.181102362205,0.16942,1289.5,1176.5,27.755905511811,52.1653543307087,0.94813,585.12,-17,367.007874015748,0.18186,1289.5,1176.5,27.755905511811,38.8582677165354,0.97035,243.61,1,21.3385826771654,0.97173,1936.5,0.5,2.69685039370079,9.38976377952756,0.315301181102362,6.3992,21.3402775590551,10.7495703893668,12.7069358083694,11950.5674691754,4825.98698044796,-804.785149564415,8.1604065236466,0.362275743126095,-0.233326098853609
"7196_rep110_16.48.09.NEF",7196,110,"95856",39,21,"7",2.17928687664955,-0.494296321814779,3.68587494509364,1.53434847043307,0,"f2",0.39377,958.1,-134,734.488188976378,0.22287,1336.5,1324.5,39.7637795275591,53.1299212598425,0.86553,651.98,-7,347.125984251969,0.30345,1336.5,1324.5,19.9212598425197,35.9448818897638,0.96754,277.38,1,29.9015748031496,0.83219,1901.5,0.5,2.8740157480315,13.2677165354331,0.334179133858268,5.5869,21.9817263779528,11.0091913039068,13.3746415633438,1977.54540763169,5725.87593605092,-5921.94029863116,-0.0115707689278163,-4.21984035755834,-0.668726275431978
"7196_rep111_16.48.52.NEF",7196,111,"95856",37,11,"6",1.41342302850814,-2.40794560865187,3.38540669575583,1.23851296012192,0,"f2",0.39104,734.62,-112,601.889763779528,0.13512,999.5,1474.5,41.3976377952756,47.1259842519685,0.76,664.53,-16,510.433070866142,0.14909,999.5,1474.5,41.3976377952756,32.992125984252,0.96837,242.8,1,23.2066929133858,0.94173,1906.5,0.5,2.46062992125984,10.2165354330709,0.308053149606299,5.6847,24.1063858267717,10.7428972400743,12.7986174171122,11765.4512503293,2034.32356992787,-1756.59532581537,4.67837023314792,-2.71068163570379,1.11860649471493
"7196_rep112_16.49.38.NEF",7196,112,"95856",31,16.5,"6",2.06178660644112,-0.510825623765991,3.39785848039664,0.622957618398481,0,"f2",0.47289,916.35,-208,646.437007874016,0.22383,672.5,1665.5,47.007874015748,44.4488188976378,0.92555,506.79,-13,183.712598425197,0.39452,1779.5,1665.5,10.9645669291339,29.2322834645669,0.97517,246.3,1,25.8051181102362,0.89957,1890.5,0.5,3.28740157480315,11.2992125984252,0.361177165354331,7.0661,15.727968503937,10.7715329717823,13.2943012094435,4629.69325232267,8311.16201027631,340.393773801759,0.289081466536728,-1.22874610678659,-0.0487031668305563
"7196_rep113_16.50.07.NEF",7196,113,"95856",40.5,9,"8",1.84371920815877,-0.891598119283784,3.70352173085081,1.16079551017398,0,"f2",0.52848,822.9,-142,800.374015748032,0.15009,1232.5,1264.5,38.4842519685039,49.3700787401575,0.62867,628.29,-10,572.224409448819,0.14643,1232.5,1264.5,38.4842519685039,37.1259842519685,0.9339,267.03,1,20.3405511811024,0.98111,1879.5,0.5,3.07086614173228,8.32677165354331,0.291842519685039,6.1107,22.001657480315,10.9331783957378,13.0417171543187,8256.53076232076,3831.70425258519,-3071.16180578917,10.2106354741161,1.63766620425177,-0.184949131176514
